,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
22,"Forever (feat. Post Malone & Clever)","Justin Bieber",602246,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
23,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",578043,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
24,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",574499,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
25,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,553662,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
26,"OUT WEST (feat. Young Thug)",JACKBOYS,553461,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",540560,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
28,Woah,"Lil Baby",536183,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
29,"My Oh My (feat. DaBaby)","Camila Cabello",534618,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
30,ON,BTS,531266,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
31,Yummy,"Justin Bieber",528834,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
32,"Sunday Best",Surfaces,527321,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
33,"Someone You Loved","Lewis Capaldi",512745,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"hot girl bummer",blackbear,512527,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
35,"You should be sad",Halsey,510797,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
36,SUGAR,BROCKHAMPTON,507302,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
37,"ON (Feat. Sia)",BTS,497119,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
38,"bad guy","Billie Eilish",464685,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,"Lucid Dreams","Juice WRLD",462296,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
40,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,458941,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
41,"HIGHEST IN THE ROOM","Travis Scott",454911,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
42,Robbery,"Juice WRLD",448065,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
43,"death bed (feat. beabadoobee)",Powfu,436520,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
44,"To Die For","Sam Smith",435328,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
45,Tusa,"KAROL G",434108,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
46,"Futsal Shuffle 2020","Lil Uzi Vert",428921,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
47,VIBEZ,DaBaby,422819,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
48,"Moral of the Story",Ashe,420598,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
49,"Feel Me","Selena Gomez",416024,https://open.spotify.com/track/6XXYdF6pJR1K3wKvuxmu7n
50,"10,000 Hours (with Justin Bieber)","Dan + Shay",414785,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
51,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",413599,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
52,Heartless,"The Weeknd",413223,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
53,"No Idea","Don Toliver",401168,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
54,Ignorantes,"Bad Bunny",396171,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
55,Suge,DaBaby,395254,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
56,"Go Stupid","Polo G",393470,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
57,"Sum 2 Prove","Lil Baby",393308,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
58,UGH!,BTS,391700,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W
59,Filter,BTS,390031,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
60,Ransom,"Lil Tecca",380722,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
61,"Money In The Grave (Drake ft. Rick Ross)",Drake,378162,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
62,"Red Eye","YoungBoy Never Broke Again",376457,https://open.spotify.com/track/3qHgGyJY4GpXNOK4WL4NSo
63,"My Time",BTS,375562,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
64,"Louder than bombs",BTS,368143,https://open.spotify.com/track/3op7HNwLli54MBjFGzIlZO
65,"Know Your Worth",Khalid,366213,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
66,Memories,"Maroon 5",362910,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
67,"when the party's over","Billie Eilish",362052,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
68,Dior,"Pop Smoke",361796,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
69,"Black Swan",BTS,358917,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
70,"Goodbyes (Feat. Young Thug)","Post Malone",352679,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
71,"Truth Hurts",Lizzo,350985,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
72,"CITY OF ANGELS",24kGoldn,350607,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
73,"All Girls Are The Same","Juice WRLD",350573,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
74,"ORANGE SODA","Baby Keem",348696,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
75,Wow.,"Post Malone",347340,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
76,"223's (feat. 9lokknine)","YNW Melly",347129,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
77,"Make No Sense","YoungBoy Never Broke Again",345000,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
78,"MIDDLE CHILD","J. Cole",344708,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
79,"00:00 (Zero O’Clock)",BTS,342421,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
80,"Lottery (Renegade)","K CAMP",341042,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
81,"lovely (with Khalid)","Billie Eilish",334128,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
82,"Before You Go","Lewis Capaldi",332864,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
83,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,329494,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
84,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",321349,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
85,"What A Man Gotta Do","Jonas Brothers",321130,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
86,"Watermelon Sugar","Harry Styles",318339,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
87,"No Guidance (feat. Drake)","Chris Brown",317020,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
88,"We are Bulletproof : the Eternal",BTS,311807,https://open.spotify.com/track/44WLOqH7QayQOQdeUHeKUK
89,Friends,BTS,310855,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
90,"Murder On My Mind","YNW Melly",307622,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
91,Señorita,"Shawn Mendes",307340,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,EARFQUAKE,"Tyler, The Creator",306989,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
93,"Inner Child",BTS,306356,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
94,"SLOW DANCING IN THE DARK",Joji,306078,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
95,"Knocked Off","YoungBoy Never Broke Again",301019,https://open.spotify.com/track/7MYFKS7XpVz1JQDK38pr8N
96,"Pop Out (feat. Lil Tjay)","Polo G",300899,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
97,"Jocelyn Flores",XXXTENTACION,297749,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
98,Camelot,"NLE Choppa",297028,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
99,"Baby (Lil Baby feat. DaBaby)","Quality Control",294910,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
100,"Going Bad (feat. Drake)","Meek Mill",294053,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
101,"SICKO MODE","Travis Scott",293629,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
102,SAD!,XXXTENTACION,292394,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
103,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",291181,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
104,Moon,BTS,290787,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
105,"Stuck In A Dream (feat. Gunna)","Lil Mosey",288397,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
106,"Start Wit Me (feat. Gunna)","Roddy Ricch",287739,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
107,"Hate Me (with Juice WRLD)","Ellie Goulding",283927,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
108,"Lose You To Love Me","Selena Gomez",280748,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
109,Physical,"Dua Lipa",280305,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
110,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",279717,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
111,"Modern Loneliness",Lauv,279638,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
112,"rockstar (feat. 21 Savage)","Post Malone",278132,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
113,"What If I Told You That I Love You","Ali Gatie",276147,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
114,July,"Noah Cyrus",275206,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
115,F.N,"Lil Tjay",273270,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
116,Maniac,"Conan Gray",272850,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
117,Vete,"Bad Bunny",272438,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
118,"Boy With Luv (feat. Halsey)",BTS,271346,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
119,"Good News","Mac Miller",270747,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
120,"Whiskey Glasses","Morgan Wallen",270607,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
121,"Outro : Ego",BTS,270303,https://open.spotify.com/track/3r9FFjLrAIQjoR8pSHVPC9
122,"Lil Top","YoungBoy Never Broke Again",270167,https://open.spotify.com/track/1aMokXl3uKDvCh4BBcjFOA
123,"Old Me","5 Seconds of Summer",269691,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
124,"One Man Band","Old Dominion",269513,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
125,"The London (feat. J. Cole & Travis Scott)","Young Thug",268010,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
126,"I Fall Apart","Post Malone",267166,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
127,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",266857,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
128,"ocean eyes","Billie Eilish",266640,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
129,Legends,"Juice WRLD",264950,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
130,Moonlight,XXXTENTACION,262684,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
131,"Beautiful Crazy","Luke Combs",262588,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
132,"Interlude : Shadow",BTS,261836,https://open.spotify.com/track/2Nib4r0saYQf2pUV4RFDhl
133,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",261590,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
134,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",260887,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
135,Trust,"Brent Faiyaz",260417,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
136,"me & ur ghost",blackbear,259979,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
137,VALENTINO,24kGoldn,257894,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
138,Lalala,Y2K,257800,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
139,"The Way","Trippie Redd",256873,https://open.spotify.com/track/6CeZoh6Oemi28WQRpa004x
140,"Fine By Time","YoungBoy Never Broke Again",256573,https://open.spotify.com/track/0KVEBQA98JvkmB5ZydQ13k
141,"7 rings","Ariana Grande",255934,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
142,"Better Now","Post Malone",255847,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
143,"Armed And Dangerous","Juice WRLD",253570,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
144,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",252474,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
145,goosebumps,"Travis Scott",250560,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
146,"Old Town Road - Remix","Lil Nas X",250322,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
147,"Shake The Room (feat. Quavo)","Pop Smoke",250246,https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1
148,"I Don't Care (with Justin Bieber)","Ed Sheeran",249894,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
149,"Heartless (feat. Morgan Wallen)",Diplo,249378,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
150,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,247655,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
151,"Give No Fxk",Migos,246750,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
152,Respect,BTS,245812,https://open.spotify.com/track/37TSJmYKLxXmx8OehFpqMN
153,"I Hope","Gabby Barrett",244702,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
154,"Lose Control",MEDUZA,243882,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
155,Death,"Trippie Redd",242979,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
156,"XO Tour Llif3","Lil Uzi Vert",242762,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
157,"Without Me",Halsey,242544,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
158,Happier,Marshmello,242494,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
159,"Enemies (feat. DaBaby)","Post Malone",241992,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
160,"Beautiful People (feat. Khalid)","Ed Sheeran",241872,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
161,GATTI,JACKBOYS,241048,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g
162,Rare,"Selena Gomez",240296,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
163,"The Less I Know The Better","Tame Impala",239867,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
164,Sucker,"Jonas Brothers",238773,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
165,"Broke In A Minute","Tory Lanez",236969,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
166,"How I Move (feat. Lil Baby)","Flipp Dinero",236776,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
167,Panini,"Lil Nas X",236746,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
168,Speechless,"Dan + Shay",236746,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
169,"Juicy (feat. Tyga)","Doja Cat",233775,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
170,"Dior (with Gunna) - Remix","Pop Smoke",233432,https://open.spotify.com/track/5R9k9x85lAYbamdUoKAJvj
171,"RITMO (Bad Boys For Life)","Black Eyed Peas",233289,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
172,"Eastside (with Halsey & Khalid)","benny blanco",231264,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
173,"Lights Up","Harry Styles",230753,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
174,FML,"Arizona Zervas",229854,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
175,"BEST ON EARTH (feat. BIA) - Bonus",Russ,229343,https://open.spotify.com/track/0xKBkLcF71uUQeTA7FSu4A
176,"Talk (feat. Disclosure)",Khalid,229107,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
177,"Lean Wit Me","Juice WRLD",228875,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
178,"Sanguine Paradise","Lil Uzi Vert",228830,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
179,Falling,"Harry Styles",227347,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
180,"Tip Toe (feat. A Boogie Wit da Hoodie)","Roddy Ricch",226447,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
181,"Yes Indeed","Lil Baby",225507,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
182,"Ransom (with Juice WRLD) - Remix","Lil Tecca",225480,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
183,"Might Not Give Up (feat. Young Thug)","A Boogie Wit da Hoodie",222060,https://open.spotify.com/track/4l2rsMfr20dj6nf6i6F3Y8
184,"Cash Shit (feat. DaBaby)","Megan Thee Stallion",221723,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
185,"SHUT UP",DaBaby,221072,https://open.spotify.com/track/3ekxXNSH4mgUnMprSnopls
186,"It's You","Ali Gatie",220685,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
187,"You Need To Calm Down","Taylor Swift",220275,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
188,"Me and My Guitar","A Boogie Wit da Hoodie",218425,https://open.spotify.com/track/6cZH4rX1KTt1aJ3Ql6Ynja
189,"Hot (feat. Gunna)","Young Thug",218286,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
190,"Pure Water (with Migos)",Mustard,217765,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
191,"6 Kiss","Trippie Redd",217236,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58
192,Congratulations,"Post Malone",217165,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
193,Noticed,"Lil Mosey",216664,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
194,"i love you","Billie Eilish",216491,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
195,Run,Joji,216304,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
196,Kinfolks,"Sam Hunt",215699,https://open.spotify.com/track/53F1MVa1BWUkTBbVqgVAfN
197,Callaita,"Bad Bunny",214928,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
198,"Into the Unknown","Idina Menzel",213567,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
199,Yikes,"Nicki Minaj",213325,https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5
200,"King Of My City","A Boogie Wit da Hoodie",212777,https://open.spotify.com/track/3o0nkjyy6eZL5lZcEpvJec
