,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
131,"Forever After All","Luke Combs",246100,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
132,"Paradise (feat. Dermot Kennedy)",MEDUZA,246013,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
133,"The Less I Know The Better","Tame Impala",245659,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
134,"HIGHEST IN THE ROOM","Travis Scott",244867,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
135,BOP,DaBaby,244554,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
136,"Chasin' You","Morgan Wallen",244376,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
137,"If the World Was Ending - feat. Julia Michaels","JP Saxe",243937,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
138,505,"Arctic Monkeys",243863,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
139,"Don't Start Now","Dua Lipa",243442,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
140,"lovely (with Khalid)","Billie Eilish",243283,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
141,"MIDDLE CHILD","J. Cole",242459,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
142,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",241155,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
143,"Beautiful Crazy","Luke Combs",240139,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
144,"Tongue Tied",Grouplove,239876,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
145,"Take Me To Church",Hozier,238504,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
146,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",237849,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
147,SAD!,XXXTENTACION,237263,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
148,"Around the World","Daft Punk",237224,https://open.spotify.com/track/1pKYYY0dkg23sQQXi0Q5zN
149,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",235205,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
150,"Time Today","Moneybagg Yo",234655,https://open.spotify.com/track/2bo0HCDcZj8BYjoht9zYgk
151,"Ballin' (with Roddy Ricch)",Mustard,234566,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
152,Sofia,Clairo,234269,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
153,"Still Goin Down","Morgan Wallen",232277,https://open.spotify.com/track/2Qz8kpCjxulML39zB6gQxY
154,"Dear Maria, Count Me In","All Time Low",231899,https://open.spotify.com/track/0JJP0IS4w0fJx01EcrfkDe
155,Redbone,"Childish Gambino",231809,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
156,"Starting Over","Chris Stapleton",230522,https://open.spotify.com/track/3K07bGe8iljQ3mOKArHLDo
157,"Roses - Imanbek Remix","SAINt JHN",230265,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
158,"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk",229556,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
159,"Train Wreck","James Arthur",229277,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
160,"motive (with Doja Cat)","Ariana Grande",228584,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
161,"Line Without a Hook","Ricky Montgomery",228306,https://open.spotify.com/track/5NvOZCjZaGGGL597exlQWv
162,Righteous,"Juice WRLD",228084,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
163,"After Party","Don Toliver",227392,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
164,"SICKO MODE","Travis Scott",227267,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
165,pov,"Ariana Grande",226188,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
166,"Mr Loverman","Ricky Montgomery",225784,https://open.spotify.com/track/2IVsRhKrx8hlQBOWy4qebo
167,"Say You Won't Let Go","James Arthur",224072,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
168,Falling,"Harry Styles",223921,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
169,"champagne problems","Taylor Swift",223663,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
170,"We Paid (feat. 42 Dugg)","Lil Baby",223323,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
171,"Remember That Night?","Sara Kays",221818,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
